battery_capacity_kWh,driving_range_km
52.2,error: Field 'this' not found
75.5,error: Field 'this' not found
82.3,error: Field 'this' not found
64.9,error: Field 'this' not found
72.2,error: Field 'this' not found
61.3,error: Field 'this' not found
59.3,error: Field 'this' not found
78.1,error: Field 'this' not found
79.1,error: Field 'this' not found
51.7,error: Field 'this' not found
70.6,error: Field 'this' not found
85.5,error: Field 'this' not found
53.6,error: Field 'this' not found
66.7,error: Field 'this' not found
74.6,error: Field 'this' not found
64.3,error: Field 'this' not found
52.4,error: Field 'this' not found
64.1,error: Field 'this' not found
84.4,error: Field 'this' not found
95.9,error: Field 'this' not found
84.5,error: Field 'this' not found
79.4,error: Field 'this' not found
54.8,error: Field 'this' not found
88.4,error: Field 'this' not found
83.4,error: Field 'this' not found
73.0,error: Field 'this' not found
58.6,error: Field 'this' not found
49.4,error: Field 'this' not found
93.1,error: Field 'this' not found
83.9,error: Field 'this' not found
64.4,error: Field 'this' not found
47.0,error: Field 'this' not found
59.9,error: Field 'this' not found
52.6,error: Field 'this' not found
86.2,error: Field 'this' not found
59.4,error: Field 'this' not found
46.9,error: Field 'this' not found
42.7,error: Field 'this' not found
41.1,error: Field 'this' not found
79.9,error: Field 'this' not found
61.3,error: Field 'this' not found
90.5,error: Field 'this' not found
57.4,error: Field 'this' not found
93.8,error: Field 'this' not found
55.5,error: Field 'this' not found
66.0,error: Field 'this' not found
45.1,error: Field 'this' not found
68.0,error: Field 'this' not found
51.5,error: Field 'this' not found
57.4,error: Field 'this' not found
