flight_number,airline_name,departure_airport,departure_city,departure_country,departure_time,arrival_airport,arrival_city,arrival_country,duration_hours,distance_km
AC1711,Air Canada,Toronto Pearson,Toronto,Canada,1:37 PM,Arturo Merino Benítez International,Santiago,Chile,4,4244
LH9806,Lufthansa,Frankfurt Airport,Frankfurt,Germany,3:48 AM,Charles de Gaulle,Paris,France,21,3975
BA9495,British Airways,Heathrow,London,UK,4:24 AM,Charles de Gaulle,Paris,France,23,9078
KE4715,Korean Air,Incheon International,Seoul,South Korea,6:43 AM,Haneda,Tokyo,Japan,10,1488
SK4698,SAS Scandinavian,Copenhagen Airport,Copenhagen,Denmark,10:10 AM,Charles de Gaulle,Paris,France,3,8993
SK4515,SAS Scandinavian,Copenhagen Airport,Copenhagen,Denmark,2:40 AM,Vienna International,Vienna,Austria,9,3075
LA5570,LATAM Airlines,São Paulo/Guarulhos International,São Paulo,Brazil,3:42 PM,Miami International,Miami,USA,3,4095
AF6606,Air France,Charles de Gaulle,Paris,France,4:58 AM,Frankfurt Airport,Frankfurt,Germany,13,8933
NZ2060,Air New Zealand,Auckland Airport,Auckland,New Zealand,4:13 AM,Sydney Airport,Sydney,Australia,18,2627
KE1298,Korean Air,Incheon International,Seoul,South Korea,6:38 AM,Haneda,Tokyo,Japan,10,3738
AI1169,Air India,Indira Gandhi International,Delhi,India,3:04 PM,Changi,Singapore,Singapore,8,4930
NH9241,All Nippon Airways,Haneda,Tokyo,Japan,9:43 PM,Changi,Singapore,Singapore,8,4411
KL2077,KLM Royal Dutch Airlines,Amsterdam Airport Schiphol,Amsterdam,Netherlands,11:12 PM,Charles de Gaulle,Paris,France,24,5446
SQ4591,Singapore Airlines,Changi,Singapore,Singapore,6:59 PM,Bole International,Addis Ababa,Ethiopia,18,5169
AC7380,Air Canada,Toronto Pearson,Toronto,Canada,7:22 AM,John F. Kennedy International,New York,USA,19,9927
LH7990,Lufthansa,Frankfurt Airport,Frankfurt,Germany,9:25 PM,Charles de Gaulle,Paris,France,6,1715
AM7823,Aeroméxico,Benito Juárez International,Mexico City,Mexico,6:30 PM,O'Hare International,Chicago,USA,8,696
SQ7786,Singapore Airlines,Changi,Singapore,Singapore,12:19 AM,Beijing Capital International,Beijing,China,13,1527
AF7434,Air France,Charles de Gaulle,Paris,France,4:14 PM,Frankfurt Airport,Frankfurt,Germany,3,3901
IB7458,Iberia,Adolfo Suárez Madrid–Barajas,Madrid,Spain,7:18 AM,Charles de Gaulle,Paris,France,2,9108
TG5312,Thai Airways,Suvarnabhumi,Bangkok,Thailand,9:29 PM,Logan International,Boston,USA,2,4697
IB4953,Iberia,Adolfo Suárez Madrid–Barajas,Madrid,Spain,10:40 PM,Charles de Gaulle,Paris,France,24,5615
