Call_ID,Agent_ID,Customer_ID,Call_Timestamp,Call_Topic,Channel,Wait_Time,Call_Duration,Call_Status,Sentiment_Score,CSAT_Score
dfcb33af-77e1-455a-9242-67b6378ba4d8,1,"",3/26/2026,,,23,52,,80,94
d54bef40-03d2-40bc-b12b-01c5dae6be83,2,"",10/3/2025,,,24,88,,67,87
bbb740ac-82dd-44ec-8df4-8dd332bb202d,3,"",1/4/2026,,,15,74,,52,1
b8a60722-973c-40f8-861b-d24526481fa0,4,"",3/6/2026,,,9,16,,78,56
82d8195a-a02c-4487-8112-790607a6e7bd,5,"",10/5/2025,,,77,66,,57,5
63148c29-ec6b-4517-907c-ab775f8e36b0,6,"",1/20/2026,,,36,72,,30,46
d252bf02-4ec8-4a01-b045-84f110d57406,7,"",11/16/2025,,,57,11,,41,96
e4d167a6-bcba-486d-bab2-1695a9f511bd,8,"",11/27/2025,,,66,4,,28,36
fa351a51-436e-4838-8285-164695af3f72,9,"",1/28/2026,,,61,75,,47,51
ff9599d7-e3e2-4b48-b57d-417e7f9a8e46,10,"",4/20/2025,,,3,4,,39,35
6d6b3310-ac19-46ac-83c1-2cffc3922b2c,11,"",5/26/2025,,,36,76,,77,77
d38ae31f-7555-4237-be4b-8269d1bebcd7,12,"",8/15/2025,,,67,27,,87,59
405b12fd-a40f-47a4-9e05-5b9b8c34bc7d,13,"",8/5/2025,,,72,53,,51,73
ae375d6d-74ed-409a-98b6-7875fd603f2d,14,"",12/1/2025,,,4,61,,97,34
65ee256b-dd19-4be0-a5a7-f638f22436b2,15,"",8/5/2025,,,98,16,,55,97
41fb894a-2472-4e32-9e0c-c85e45a03dca,16,"",1/29/2026,,,57,1,,82,38
bd2c9ba0-ff88-4206-83ff-f723776ac028,17,"",2/10/2026,,,76,90,,41,15
b2aa7fe3-cf5e-4852-a68f-8a9e1f89700f,18,"",11/11/2025,,,70,31,,24,44
23477722-2310-452a-adae-7ef0f6d60874,19,"",1/6/2026,,,74,80,,4,35
b65d4428-8cbe-4dbe-b9d3-dba26327c9b5,20,"",5/6/2025,,,42,4,,54,87
369c2ced-bbe9-4869-a2d5-ccce2dead6e3,21,"",6/2/2025,,,83,40,,28,12
b2f34cc2-4536-45be-9b03-e602fa28dc11,22,"",11/2/2025,,,11,75,,32,11
2f5ba39b-c65e-4baf-aebc-37a0693a9897,23,"",3/29/2026,,,1,48,,63,21
19f77f41-3e3f-4a4b-a74a-1b33ebd4ea9f,24,"",12/29/2025,,,26,23,,70,70
b831139d-b5f4-461d-a08f-ca9d924c6b57,25,"",11/2/2025,,,35,39,,95,3
102f9637-e16b-49ee-aa0a-6ce0c655e55a,26,"",8/14/2025,,,67,26,,12,60
eeea5fbc-6edc-4451-b1aa-5d3166974a40,27,"",6/17/2025,,,25,50,,75,10
a18606cc-d39c-4828-87fb-9ac4bfa96bb9,28,"",8/30/2025,,,10,58,,14,15
1dd8fb74-c5cb-4ae4-8657-deb9030c930a,29,"",11/8/2025,,,57,81,,56,84
d7802caf-b968-467e-9dbc-ec131d2e92f6,30,"",4/18/2026,,,84,40,,61,91
7ba1feab-36ca-45ea-a62f-43baacd86419,31,"",6/12/2025,,,71,93,,68,3
c9ce8732-6595-4c7c-bd7b-57ddf7312cd4,32,"",7/12/2025,,,40,36,,88,70
ba3132e2-9e42-4c22-adca-6ce3cd7553e2,33,"",4/9/2026,,,32,12,,45,83
640082b0-2f12-4a5e-9aba-31688a08bb6b,34,"",1/24/2026,,,76,71,,95,99
a3b27610-0e8b-44d3-8d81-5026ea6d6a76,35,"",2/14/2026,,,98,79,,92,75
8a198074-66f7-4174-a576-488b8efda4d4,36,"",7/28/2025,,,91,59,,74,1
c17ad042-8e3a-4bb5-8d53-00b4dcfae26f,37,"",10/13/2025,,,5,47,,41,59
2edc4aaa-039d-42d5-93c0-96be8a57f5e8,38,"",11/29/2025,,,13,43,,86,28
616dd493-32a3-4e4a-9333-66cee90e4fe1,39,"",2/9/2026,,,24,11,,7,70
6e66f064-2685-45a4-ab8b-335a532d5261,40,"",4/10/2026,,,63,99,,84,91
8105b65f-176b-4bb5-8789-ef10bcee5a01,41,"",4/26/2025,,,95,40,,97,55
33439a90-c01e-4501-ba85-9bf145e7b0cc,42,"",8/7/2025,,,58,5,,7,69
e13393b5-5be7-4914-a5fe-ae2236d44570,43,"",9/7/2025,,,3,46,,57,90
69f41d6e-9d9e-4339-8d5d-9aeaa240956d,44,"",1/18/2026,,,54,93,,1,37
2c0e8710-27b9-40f2-bf0e-cff5ce176c4d,45,"",1/20/2026,,,49,96,,13,27
8e1cf72c-8f42-45c4-8c56-4c80a0760869,46,"",2/22/2026,,,55,87,,95,40
3da49b4d-3bb3-4403-94ef-ce3be1b5c191,47,"",1/25/2026,,,19,95,,75,55
c6559adf-f6e7-493d-9347-c897ca3e17af,48,"",5/21/2025,,,50,71,,47,95
e7101881-7a8b-48d1-8212-dbebd0e670e4,49,"",7/22/2025,,,26,70,,22,87
929ce011-8976-4281-849a-ab3a072d3129,50,"",7/3/2025,,,41,49,,16,82
74d347a1-0435-48ce-a24c-206165028c4b,51,"",1/17/2026,,,96,21,,52,48
05855dc3-9c5d-416d-933f-1023394bd82e,52,"",6/21/2025,,,96,81,,50,58
fb1fd78e-ad73-4583-aa83-2209a0656fa6,53,"",10/15/2025,,,90,22,,36,81
e35cf67a-e838-4467-9e8e-964dd15481a7,54,"",7/24/2025,,,19,20,,96,56
d2d84104-250c-46b2-af08-b0b74d08c749,55,"",12/9/2025,,,74,51,,28,37
9af67642-5647-45a7-95fc-5f1b2e0b1985,56,"",3/27/2026,,,85,96,,17,77
f9a2839b-ccb5-4216-a2a6-82467154b766,57,"",9/11/2025,,,15,86,,55,37
