battery_capacity_kWh,driving_range_km
48.9,293.4
62.6,438.2
72.7,363.5
73.4,513.8
44.6,312.2
56.2,393.4
49.7,248.5
88.3,441.5
74.6,373.0
45.2,316.4
95.5,668.5
54.9,384.3
53.7,322.2
91.6,458.0
96.2,577.2
57.6,288.0
98.0,588.0
81.7,408.5
65.6,328.0
89.8,449.0
66.5,332.5
46.5,279.0
85.6,428.0
78.7,393.5
51.6,258.0
76.8,384.0
76.7,383.5
51.5,309.0
75.8,379.0
92.1,460.5
80.5,483.0
48.6,243.0
72.2,361.0
55.3,387.1
48.9,244.5
66.4,332.0
78.6,471.6
57.2,286.0
61.0,305.0
64.1,320.5
96.8,580.8
80.8,565.6
96.7,483.5
89.1,623.7
98.4,590.4
86.0,430.0
92.0,644.0
80.4,562.8
77.8,389.0
88.5,619.5
