daily_led_lighting_hours,nutrient_solution_cost,automated_irrigation_frequency,tomato_yield_per_plant
10,184,10,4.84
13,135,11,5.05
17,195,6,5.95
13,85,5,3.95
13,114,10,4.74
11,168,6,5.48
16,191,4,6.51
14,61,11,5.51
14,200,6,5.4
18,51,7,5.81
12,143,5,4.33
13,65,9,5.15
10,59,4,3.99
15,127,4,4.67
13,79,8,5.19
10,151,4,3.91
15,71,4,5.11
16,104,7,4.94
14,111,8,4.71
17,115,8,5.35
17,99,4,5.79
12,74,12,4.34
14,200,11,5.9
16,194,6,6.74
14,94,10,5.74
10,65,4,3.05
15,99,6,5.59
16,121,9,5.31
18,160,7,6.9
13,70,4,3.7
11,145,8,5.45
15,99,11,6.09
11,158,11,5.88
11,195,10,5.15
16,190,6,6.7
10,68,5,4.18
17,52,12,5.12
14,100,11,5.9
15,58,12,4.78
13,146,9,4.96
10,76,8,3.56
13,54,6,3.74
17,80,12,6.4
18,143,12,7.23
18,102,11,6.72
16,67,7,5.57
17,89,4,4.69
17,190,11,6.4
16,113,8,6.13
12,175,11,5.25
