flight_id,airline_name,airline_code,flight_number,departure_airport,arrival_airport,cabin_class,ticket_type,aircraft_type,departure_time,arrival_time,flight_duration_hours,distance_miles,base_fare_usd
1,Air New Zealand,NZ,NZ4746,AKL,SYD,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,10/21/2025,1/31/2025,3.16,5177,764.38
2,Cathay Pacific,CX,CX3000,HKG,SIN,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,3/9/2022,1/5/2026,14.98,169,1372.75
3,Air New Zealand,NZ,NZ8312,AKL,HKG,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,4/1/2023,3/6/2023,3.88,2243,3062.16
4,Qatar Airways,QR,QR4970,DOH,ADD,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,6/14/2025,3/18/2023,12.92,6855,2244.04
5,Air France,AF,AF8349,CDG,FRA,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,5/8/2022,8/3/2026,6.67,3861,840.99
6,British Airways,BA,BA2399,LHR,CDG,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,8/19/2023,8/2/2025,16.68,2547,1132.03
7,Qatar Airways,QR,QR3399,DOH,ADD,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,6/18/2025,2/27/2025,16.4,5845,1173.92
8,Air India,AI,AI2111,DEL,BOM,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,12/1/2025,10/14/2022,7.63,4681,795.26
9,Delta Air Lines,DL,DL8669,JFK,ATL,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,12/2/2025,6/7/2023,13.31,698,1057.42
10,Delta Air Lines,DL,DL6412,JFK,ATL,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,2/23/2023,5/11/2026,3.75,520,2479.08
11,Emirates,EK,EK1268,DXB,DEL,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,7/13/2025,5/27/2026,8.78,4764,2711.22
12,South African Airways,SA,SA4845,JNB,CDG,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,10/27/2025,11/30/2026,7.26,2820,2696.5
13,Aeroméxico,AM,AM6269,MEX,LIM,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,10/4/2022,7/28/2022,5.25,4518,2148.79
14,Delta Air Lines,DL,DL4343,JFK,BOS,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,5/17/2023,12/31/2024,1.7,1764,665.19
